Genus,Species,
Pan,troglodytes,
Pan,paniscus,
Gorilla,gorilla,
Pongo,abelii,
Nomascus,leucogenys,
Hylobates,moloch,
Rhinopithecus,roxellana,
Piliolocbus,tephrosceles,
Macaca,mulatta,
Macaca,nemestrina,
Macaca,fascicularis,
Cercocebus,atys,
Mandrillus,leucophaeus,
Papio,anubis,
Theropithecus,gelada,
Chlorocebus,sabaeus,
Alouatta,palliata,
Aotus,nancymaae,
Cebus,capuchinus,imitator
Sapajus,apella,
Saimiri,boliviensis,
Callithrix,jacchus,
Microcebus,murinus,
Propithecus,coquereli,
Eulemur,falavifrons,
Daubentonia,madagascariensis,
